,cnc0_should_be_online,cnc1_should_be_online,lathe0_should_be_online,lathe1_should_be_online,lathe2_should_be_online,mill0_should_be_online,grinder0_should_be_online,cnc0_is_online,cnc1_is_online,lathe0_is_online,lathe1_is_online,lathe2_is_online,mill0_is_online,grinder0_is_online,cnc0_ideal_production_time,cnc1_ideal_production_time,lathe0_ideal_production_time,lathe1_ideal_production_time,lathe2_ideal_production_time,mill0_ideal_production_time,grinder0_ideal_production_time,cnc0_real_production_time,cnc1_real_production_time,lathe0_real_production_time,lathe1_real_production_time,lathe2_real_production_time,mill0_real_production_time,grinder0_real_production_time,cnc0_defective,cnc1_defective,lathe0_defective,lathe1_defective,lathe2_defective,mill0_defective,grinder0_defective,cnc0_availability,cnc1_availability,lathe0_availability,lathe1_availability,lathe2_availability,mill0_availability,grinder0_availability,cnc0_performance,cnc1_performance,lathe0_performance,lathe1_performance,lathe2_performance,mill0_performance,grinder0_performance,cnc0_quality,cnc1_quality,lathe0_quality,lathe1_quality,lathe2_quality,mill0_quality,grinder0_quality,cnc0_oee,cnc1_oee,lathe0_oee,lathe1_oee,lathe2_oee,mill0_oee,grinder0_oee,all_machines_availability,all_machines_performance,all_machines_quality,all_machines_oee
2024-01-09 00:00:00,True,True,True,True,True,True,True,False,True,False,True,False,True,True,86400.0,120.0,86400.0,120.0,86400.0,120.0,120.0,86400.0,122.1511408245076,86400.0,120.0,86400.0,143.73089366245233,120.0,0.0,0.44456630272341346,0.0,0.0,0.0,0.6612625914901986,0.21644977776785682,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9858784673435648,1.0,1.0,1.0,0.8381525191597117,1.0,1.0,0.5500574016573383,1.0,1.0,1.0,0.39166800416893466,0.7783603136880685,0.0,0.5422897480969203,0.0,1.0,0.0,0.32827752436844904,0.7783603136880685,0.5714285714285714,0.974861569500468,0.817155102787763,0.3784182265933483
2024-01-09 00:10:00,True,True,True,True,True,True,True,False,True,False,True,False,True,True,86400.0,120.0,86400.0,120.0,86400.0,120.0,120.0,86400.0,122.322368628238,86400.0,120.0,86400.0,143.9492547630267,120.0,0.0,0.4421030687548055,0.0,0.0,0.0,0.6518932206061624,0.21428432124194471,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9844814502175443,1.0,1.0,1.0,0.8368464049358552,1.0,1.0,0.5521852838139523,1.0,1.0,1.0,0.3703496485444515,0.7804293158052052,0.0,0.5436161689979461,0.0,1.0,0.0,0.3099257719536817,0.7804293158052052,0.5714285714285714,0.974475407879057,0.8147091783090871,0.376281608108119
2024-01-09 00:20:00,True,True,True,True,True,True,True,False,True,False,True,False,True,True,86400.0,120.0,86400.0,120.0,86400.0,120.0,120.0,86400.0,122.4929764062236,86400.0,120.0,86400.0,144.16548097105684,120.0,0.0,0.4395067324961984,0.0,0.0,0.0,0.6278493428531806,0.21208191728247416,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9830931717859918,1.0,1.0,1.0,0.8355561217555504,1.0,1.0,0.554447321189466,1.0,1.0,1.0,0.3601916069769171,0.7825370040803168,0.0,0.5450733755763987,0.0,1.0,0.0,0.3009603022145323,0.7825370040803168,0.5714285714285714,0.9740927562202203,0.8138822760352429,0.3755100974101783
2024-01-09 00:30:00,True,True,True,True,True,True,True,False,True,False,True,False,True,True,86400.0,120.0,86400.0,120.0,86400.0,120.0,120.0,86400.0,122.66295418441823,86400.0,120.0,86400.0,144.3795280804279,120.0,0.0,0.43677788212934093,0.0,0.0,0.0,0.5907305786458159,0.2098432951041368,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9817136581402569,1.0,1.0,1.0,0.8342818027529506,1.0,1.0,0.5568431045629831,1.0,1.0,1.0,0.36268643953760793,0.7846826856802319,0.0,0.5466604811907038,0.0,1.0,0.0,0.30258269661148457,0.7846826856802319,0.5714285714285714,0.9737136372704581,0.8148874613972604,0.3762751233546315
2024-01-09 00:40:00,True,True,True,True,True,True,True,False,True,False,True,False,True,True,86400.0,120.0,86400.0,120.0,86400.0,120.0,120.0,86400.0,122.8322921460403,86400.0,120.0,86400.0,144.59135219662346,120.0,0.0,0.43391717725296636,0.0,0.0,0.0,0.5433757624310841,0.2075691977591259,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9803429337694185,1.0,1.0,1.0,0.833023578360422,1.0,1.0,0.5593721531493139,1.0,1.0,1.0,0.37819363459567856,0.7868656531745492,0.0,0.5483765376873149,0.0,1.0,0.0,0.31504421480402606,0.7868656531745492,0.5714285714285714,0.9733380731614057,0.817775920131363,0.3786123436665557
2024-01-09 00:50:00,True,True,True,True,True,True,True,False,True,False,True,False,True,True,86400.0,120.0,86400.0,120.0,86400.0,120.0,120.0,86400.0,123.00098063212761,86400.0,120.0,86400.0,144.80090974624983,120.0,0.0,0.4309253487342586,0.0,0.0,0.0,0.4896107842249879,0.2052603818155345,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.978981021583562,1.0,1.0,1.0,0.8317815763544619,1.0,1.0,0.5620339146515028,1.0,1.0,1.0,0.4058796199580951,0.7890851848381545,0.0,0.5502205359301366,0.0,1.0,0.0,0.3376031900988942,0.7890851848381545,0.5714285714285714,0.9729660854197179,0.8224283884925361,0.3824155586953122
2024-01-09 01:00:00,True,True,True,True,True,True,True,False,True,False,True,False,True,True,86400.0,120.0,86400.0,120.0,86400.0,120.0,120.0,86400.0,123.16901014205304,86400.0,120.0,86400.0,145.00815748649688,120.0,0.0,0.427803198521961,0.0,0.0,0.0,0.43389819120573625,0.20291761702842726,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9776279429369715,1.0,1.0,1.0,0.8305559219017645,1.0,1.0,0.5648277653517448,1.0,1.0,1.0,0.4437736866721721,0.7913405449613927,0.0,0.5521914063545127,0.0,1.0,0.0,0.3685788634497507,0.7913405449613927,0.5714285714285714,0.9725976949769622,0.8285631424264727,0.38744440210937947
2024-01-09 01:10:00,True,True,True,True,True,True,True,False,True,False,True,False,True,True,86400.0,120.0,86400.0,120.0,86400.0,120.0,120.0,86400.0,123.33637133400168,86400.0,120.0,86400.0,145.21305251453296,120.0,0.0,0.42455159942119197,0.0,0.0,0.0,0.38092278886213016,0.2005416860037418,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9762837176512272,1.0,1.0,1.0,0.8293467376053935,1.0,1.0,0.5677530102406805,1.0,1.0,1.0,0.4889354252961776,0.7936309841677599,0.0,0.5542880195454468,0.0,1.0,0.0,0.4054969998690905,0.7936309841677599,0.5714285714285714,0.9722329221795174,0.8357599171006598,0.3933451433688996
2024-01-09 01:20:00,True,True,True,True,True,True,True,False,True,False,True,False,True,True,86400.0,120.0,86400.0,120.0,86400.0,120.0,120.0,86400.0,123.50305502540851,86400.0,120.0,86400.0,145.41555227683196,120.0,0.0,0.4211714948300415,0.0,0.0,0.0,0.335153967161152,0.19813338385515641,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9749483640382062,1.0,1.0,1.0,0.8281541435510246,1.0,1.0,0.57080888318504,1.0,1.0,1.0,0.5377179879115157,0.7959557397389795,0.0,0.5565091868397303,0.0,1.0,0.0,0.44531337975084145,0.7959557397389795,0.5714285714285714,0.9718717867984615,0.843497515833648,0.39968261518993586
2024-01-09 01:30:00,True,True,True,True,True,True,True,False,True,False,True,False,True,True,86400.0,120.0,86400.0,120.0,86400.0,120.0,120.0,86400.0,123.66905219335817,86400.0,120.0,86400.0,145.61561457843075,120.0,0.0,0.41766389843805113,0.0,0.0,0.0,0.3004278210546063,0.19569351785408146,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9736218989229761,1.0,1.0,1.0,0.826978257353222,1.0,1.0,0.5739945471335883,1.0,1.0,1.0,0.5861017808433839,0.7983140359473221,0.0,0.558853660951638,0.0,1.0,0.0,0.48469342935348164,0.7983140359473221,0.5714285714285714,0.9715143080394569,0.8512014805606134,0.40598016089320593
